time,topic,mentions,unique_accounts,engagement,influencer_event
2026-09-02 20:00,ALPHA,3,3,120,0
2026-09-02 20:01,ALPHA,5,4,210,1
2026-09-02 20:02,ALPHA,9,7,420,1
2026-09-02 20:03,ALPHA,15,11,700,2
2026-09-02 20:04,ALPHA,24,16,1100,2
2026-09-02 20:05,ALPHA,35,22,1700,3
2026-09-02 20:06,ALPHA,48,29,2300,4
2026-09-02 20:00,GAMMA,4,3,140,0
2026-09-02 20:01,GAMMA,5,4,180,0
2026-09-02 20:02,GAMMA,6,5,220,0
2026-09-02 20:03,GAMMA,7,5,250,0
2026-09-02 20:04,GAMMA,8,6,290,0
2026-09-02 20:05,GAMMA,10,7,340,0
